nazev;cena;dostupnost
Lavazza Prontissimo Intenso instantní káva 95 g;181 Kč;můžete mít ZÍTRA
Cafédirect Smooth Roast instantní káva 200g;369 Kč;můžete mít ZÍTRA
Cafédirect Machu Picchu instantní káva bez kofeinu 100g;239 Kč;můžete mít ZÍTRA
Cafédirect Machu Picchu instantní káva 100g;229 Kč;můžete mít ZÍTRA
illy Instantní káva 95 g – smooth;199 Kč;můžete mít ZÍTRA
Tchibo Gold Selection Créma 180g, instantní káva;201 Kč;můžete mít ZÍTRA
NESCAFÉ - 2 v 1 instantní káva, 5 krabiček ( 5 x 10 porcí po 8g);280 Kč;můžete mít 20.10. - 21.10.
Jacobs CAPPUCCINO VANILLA 8 ks;69 Kč;můžete mít ZÍTRA
NESCAFÉ - 3 v 1 Classic instantní káva, 5 krabiček (5 x 10 porcí po 16,5g);280 Kč;můžete mít 20.10. - 21.10.
Jacobs Kronung Crema instantní káva 200g + Instant Cappuccino;239 Kč;můžete mít ZÍTRA
Cafédirect Machu Picchu instantní káva 200 g;399 Kč;můžete mít ZÍTRA
Cafédirect Smooth Roast instantní káva 100g;160 Kč;můžete mít ZÍTRA
